crawl_date,crawl_time,asin,name,rank,stars,reviews,price,url
,,B0BLTYNJCK,"Surge Protector Flat Extension Cord Flat Plug Power Strip, 8 AC Outlets, 3 USB Charger(1 USB C Port) 3-Sided Outlet Extender, 5 Ft, 900 Joules Protection, Office Supplies, Dorm Room Essentials, Grey",49,4.8,12427,$22.99,https://www.amazon.com/dp/B0BLTYNJCK
,,B0B1N7LJD3,"Blink Outdoor 4 (newest model) – Wireless smart security camera, two-year battery life, two-way talk. Required Sync Module not included – Add-on camera",50,4.3,8614,$39.99,https://www.amazon.com/dp/B0B1N7LJD3
2025-08-28,,B0BZYCJK89,"Owala FreeSip Insulated Stainless Steel Water Bottle with Straw, BPA-Free Sports Water Bottle, Great for Travel, 24 Oz, Denim",1,4.7,86040,$29.99,https://www.amazon.com/dp/B0BZYCJK89
2025-08-28,,B01M16WBW1,"Queen Size 4 Piece Sheet Set - Comfy Breathable & Cooling Bed Sheets Set - Hotel Luxury Bedding for Women, Men, Kids & Teens - Deep Pockets, Easy Secure Fit, Soft and Wrinkle Free - Oeko-Tex - White",2,4.4,398221,$19.93,https://www.amazon.com/dp/B01M16WBW1
2025-08-28,,B00E4GACB8,TERRO Ant Killer Bait Stations T300B - Liquid Bait to Eliminate Ants - Bait System - 12 Count Stations for Effective Indoor Ant Control,3,4.6,140585,$11.97,https://www.amazon.com/dp/B00E4GACB8
2025-08-28,,B0B1CNJL7N,"upsimples 8x10 Picture Frame, Display Pictures 5x7 with Mat or 8x10 Without Mat, Wall Hanging Photo Frame, Black, 1 Pack",4,4.5,28928,$5.99,https://www.amazon.com/dp/B0B1CNJL7N
2025-08-28,,B00FXNAAW2,"Amazon Basics Slim, Velvet, Non-Slip Suit Clothes Hangers, Pack of 50, Black",5,4.8,209183,$19.99,https://www.amazon.com/dp/B00FXNAAW2
2025-08-28,,B07T869RNY,"Zevo Flying Insect Trap & Cartridge - Plug in Fly Trap & Indoor Bug Catcher for Gnats, House & Fruit Flies - Mess-Free - Use in Any Room - Uses Blue & UV Light (1 Plug in Device & 1 Cartridge)",6,4.2,63961,$19.97,https://www.amazon.com/dp/B07T869RNY
2025-08-28,,B08QRFZ6TH,"Barossa Design Plastic Shower Liner Clear - Premium PEVA Shower Curtain Liner with Rustproof Grommets and 3 Magnets, Waterproof Cute Lightweight Standard Size Bathroom Curtains - Clear",7,4.5,83884,$8.95,https://www.amazon.com/dp/B08QRFZ6TH
2025-08-28,,B0DVF2WFKK,STANLEY Quencher H2.0 Tumbler with Handle and Straw 40 oz | Flowstate 3-Position Lid | Cup Holder Compatible for Travel | Insulated Stainless Steel Cup | BPA-Free | Cornflower Gloss,8,4.7,68774,$27,https://www.amazon.com/dp/B0DVF2WFKK
